Body,Frame1Coord,Frame2Coord,IsItFromPE
Head1,"(601, 317)","(609, 305)",True
LeftArm1,"(755, 278)","(753, 276)",True
RightArm1,"(382, 454)","(345, 419)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,"(755, 278)","(753, 276)",True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(613, 305)","(624, 303)",True
LeftArm0,"(751, 280)","(745, 288)",True
RightArm0,"(377, 385)","(343, 378)",True
LeftLeg0,"(611, 620)","(745, 288)",True
RightLeg0,"(554, 614)","(343, 378)",True
Head1,"(613, 305)","(624, 303)",True
LeftArm1,"(751, 280)","(745, 288)",True
RightArm1,"(377, 385)","(343, 378)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head0,"(638, 299)","(650, 301)",True
LeftArm0,"(728, 311)","(706, 321)",True
RightArm0,"(340, 374)","(981, 380)",True
LeftLeg0,None,None,True
RightLeg0,None,None,True
Head1,"(638, 299)","(650, 301)",True
LeftArm1,"(728, 311)","(706, 321)",True
RightArm1,"(340, 374)","(981, 380)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head0,"(658, 301)","(663, 297)",True
LeftArm0,"(693, 323)","(691, 321)",True
RightArm0,"(993, 358)","(999, 303)",True
LeftLeg0,None,None,True
RightLeg0,None,None,True
Head1,"(658, 301)","(663, 297)",True
LeftArm1,"(693, 323)","(691, 321)",True
RightArm1,"(993, 358)","(999, 303)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head0,"(667, 293)","(675, 284)",True
LeftArm0,"(689, 319)","(685, 319)",True
RightArm0,"(978, 262)","(972, 219)",True
LeftLeg0,None,None,True
RightLeg0,None,None,True
Head1,"(667, 293)","(675, 284)",True
LeftArm1,"(689, 319)","(685, 319)",True
RightArm1,"(978, 262)","(972, 219)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head0,None,None,True
LeftArm0,"(675, 333)","(679, 331)",True
RightArm0,"(952, 202)","(944, 217)",True
LeftLeg0,None,None,True
RightLeg0,None,None,True
Head1,None,None,True
LeftArm1,"(675, 333)","(679, 331)",True
RightArm1,"(952, 202)","(944, 217)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
